date_text,date_d,group_id,item_id,daily_sales,warehouse,item_price,item_style,fabric_type,fabric_color,fabric_pattern,item_cut,consultant_no,holiday,max_temp,average_temp,min_temp,mid_point,max_humidity,average_humidity,min_humidity,max_wind,average_wind,max_gust,precipitation,testing_data
20161009,09-10-16,t,t0001,21.00,42.00,700.00,casual,polyester,purple,plain,1.00,8.00,1.00,7.40,6.80,6.40,6.40,98.00,97.00,97.00,18.00,1.00,19.00,3.56,0.00
20161010,10-10-16,t,t0001,22.00,96.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,9.10,7.60,6.40,7.20,98.00,97.00,97.00,16.00,0.00,16.00,0.86,0.00
20161011,11-10-16,t,t0001,25.00,49.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,9.40,8.00,6.40,7.40,98.00,96.00,90.00,10.00,0.00,10.00,0.03,0.00
20161012,12-10-16,t,t0001,17.00,87.00,700.00,casual,polyester,purple,plain,1.00,9.00,0.00,9.10,8.20,4.60,6.70,97.00,91.00,81.00,18.00,1.00,19.00,0.00,0.00
20161013,13-10-16,t,t0001,30.00,57.00,700.00,casual,polyester,purple,plain,1.00,3.00,0.00,6.80,5.10,2.30,1.20,86.00,76.00,67.00,16.00,1.00,23.00,0.00,0.00
20161014,14-10-16,t,t0001,30.00,4.00,700.00,casual,polyester,purple,plain,1.00,10.00,1.00,8.90,4.60,0.10,0.90,94.00,78.00,64.00,11.00,1.00,13.00,0.00,0.00
20161015,15-10-16,t,t0001,25.00,77.00,700.00,casual,polyester,purple,plain,1.00,6.00,1.00,6.90,3.80,0.70,0.50,90.00,79.00,67.00,8.00,0.00,8.00,0.00,0.00
20161016,16-10-16,t,t0001,12.00,7.00,700.00,casual,polyester,purple,plain,1.00,8.00,1.00,9.60,5.00,0.40,1.10,97.00,77.00,58.00,13.00,0.00,13.00,0.00,0.00
20161017,17-10-16,t,t0001,14.00,81.00,700.00,casual,polyester,purple,plain,1.00,10.00,0.00,9.80,3.60,-1.50,0.90,99.00,84.00,57.00,6.00,0.00,6.00,0.00,0.00
20161018,18-10-16,t,t0001,16.00,56.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,9.30,4.30,-0.50,0.60,97.00,77.00,55.00,13.00,0.00,14.00,0.00,0.00
20161019,19-10-16,t,t0001,46.00,83.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,7.70,2.20,-2.30,-0.60,98.00,82.00,62.00,14.00,0.00,14.00,0.00,0.00
20161020,20-10-16,t,t0001,20.00,93.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,6.30,2.10,-1.40,-0.90,93.00,81.00,64.00,14.00,0.00,14.00,0.00,0.00
20161021,21-10-16,t,t0001,15.00,36.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,5.30,3.90,1.60,0.90,86.00,81.00,77.00,8.00,0.00,13.00,0.00,0.00
20161022,22-10-16,t,t0001,17.00,46.00,700.00,casual,polyester,purple,plain,1.00,5.00,1.00,9.40,6.70,4.60,2.70,93.00,76.00,61.00,18.00,1.00,18.00,0.00,0.00
20161023,23-10-16,t,t0001,19.00,27.00,700.00,casual,polyester,purple,plain,1.00,7.00,1.00,6.80,5.30,3.90,0.70,77.00,72.00,68.00,14.00,1.00,16.00,0.00,0.00
20161024,24-10-16,t,t0001,8.00,3.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,7.30,5.10,3.40,-0.20,77.00,69.00,57.00,13.00,1.00,13.00,0.00,0.00
20161025,25-10-16,t,t0001,17.00,41.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,8.20,5.20,3.60,-0.90,80.00,65.00,51.00,27.00,2.00,27.00,0.00,0.00
20161026,26-10-16,t,t0001,10.00,37.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,4.50,2.40,0.60,-1.10,97.00,79.00,59.00,21.00,1.00,23.00,0.05,0.00
20161027,27-10-16,t,t0001,16.00,67.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,3.90,2.20,0.40,1.60,98.00,96.00,94.00,5.00,0.00,5.00,0.74,0.00
20161028,28-10-16,t,t0001,14.00,94.00,700.00,casual,polyester,purple,plain,1.00,10.00,0.00,7.40,4.20,2.80,1.40,96.00,83.00,59.00,10.00,0.00,10.00,0.00,0.00
20161029,29-10-16,t,t0001,23.00,45.00,700.00,casual,polyester,purple,plain,1.00,6.00,1.00,9.50,5.40,2.90,3.60,96.00,89.00,75.00,23.00,1.00,23.00,0.71,0.00
20161030,30-10-16,t,t0001,19.00,12.00,700.00,casual,polyester,purple,plain,1.00,6.00,1.00,7.20,4.70,3.30,3.40,95.00,91.00,79.00,13.00,1.00,18.00,0.56,0.00
20161031,31-10-16,t,t0001,20.00,6.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,3.70,1.90,-0.60,0.70,96.00,92.00,86.00,13.00,0.00,13.00,0.13,0.00
20161101,01-11-16,t,t0001,17.00,68.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,2.40,-0.10,-2.90,-2.20,94.00,86.00,71.00,8.00,0.00,8.00,0.03,0.00
20161102,02-11-16,t,t0001,12.00,25.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,4.30,0.90,-2.00,0.20,98.00,95.00,90.00,10.00,0.00,16.00,0.79,0.00
20161103,03-11-16,t,t0001,16.00,15.00,700.00,casual,polyester,purple,plain,1.00,4.00,0.00,7.90,4.80,2.30,2.60,98.00,87.00,70.00,21.00,1.00,21.00,0.03,0.00
20161104,04-11-16,t,t0001,17.00,79.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,6.10,3.50,1.60,-0.20,88.00,77.00,50.00,14.00,1.00,18.00,0.00,0.00
20161105,05-11-16,t,t0001,19.00,52.00,700.00,casual,polyester,purple,plain,1.00,8.00,1.00,7.90,3.30,-1.70,-0.50,93.00,77.00,55.00,13.00,0.00,18.00,0.00,0.00
20161106,06-11-16,t,t0001,18.00,36.00,700.00,casual,polyester,purple,plain,1.00,8.00,1.00,11.40,8.10,4.30,6.30,94.00,89.00,82.00,19.00,1.00,19.00,0.05,0.00
20161107,07-11-16,t,t0001,14.00,81.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,13.90,10.20,6.40,8.70,98.00,91.00,82.00,18.00,0.00,18.00,0.08,0.00
20161108,08-11-16,t,t0001,13.00,52.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,8.20,5.70,3.70,3.60,93.00,86.00,79.00,8.00,0.00,13.00,0.00,0.00
20161109,09-11-16,t,t0001,16.00,25.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,6.40,5.00,3.50,3.80,98.00,92.00,85.00,14.00,0.00,14.00,0.30,0.00
20161110,10-11-16,t,t0001,19.00,6.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,5.70,3.30,1.30,1.80,98.00,90.00,84.00,16.00,1.00,16.00,0.03,0.00
20161111,11-11-16,t,t0001,13.00,100.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,2.50,1.20,0.10,-0.90,93.00,86.00,79.00,10.00,0.00,13.00,0.00,0.00
20161112,12-11-16,t,t0001,20.00,30.00,700.00,casual,polyester,purple,plain,1.00,6.00,1.00,3.50,1.80,0.40,-0.40,92.00,86.00,81.00,11.00,0.00,11.00,0.00,0.00
20161113,13-11-16,t,t0001,31.00,24.00,700.00,casual,polyester,purple,plain,1.00,7.00,1.00,0.70,-0.40,-1.80,-1.80,97.00,90.00,81.00,24.00,2.00,24.00,0.00,0.00
20161114,14-11-16,t,t0001,9.00,21.00,700.00,casual,polyester,purple,plain,1.00,8.00,0.00,0.50,-1.40,-2.80,-2.80,97.00,90.00,80.00,21.00,2.00,21.00,0.00,0.00
20161115,15-11-16,t,t0001,22.00,3.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,-0.10,-2.60,-4.70,-3.60,97.00,93.00,85.00,10.00,0.00,10.00,0.05,0.00
20161116,16-11-16,t,t0001,15.00,38.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,-1.50,-3.20,-4.60,-3.80,97.00,96.00,90.00,10.00,0.00,13.00,0.00,0.00
20161117,17-11-16,t,t0001,22.00,64.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,0.10,-1.70,-3.40,-2.40,97.00,94.00,90.00,8.00,0.00,13.00,0.00,0.00
20161118,18-11-16,t,t0001,23.00,82.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,5.80,2.90,0.10,3.30,98.00,94.00,87.00,10.00,0.00,13.00,0.58,0.00
20161119,19-11-16,t,t0001,28.00,24.00,700.00,casual,polyester,purple,plain,1.00,8.00,1.00,7.20,4.70,2.20,4.60,96.00,93.00,88.00,19.00,1.00,21.00,0.00,0.00
20161120,20-11-16,t,t0001,21.00,89.00,700.00,casual,polyester,purple,plain,1.00,7.00,1.00,4.40,1.90,-0.50,0.30,94.00,90.00,83.00,29.00,1.00,29.00,0.00,0.00
20161121,21-11-16,t,t0001,15.00,94.00,700.00,casual,polyester,purple,plain,1.00,10.00,0.00,0.80,-0.60,-1.90,-1.60,95.00,90.00,86.00,19.00,1.00,19.00,0.00,0.00
20161122,22-11-16,t,t0001,28.00,83.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,-0.90,-1.40,-1.90,-2.90,95.00,90.00,83.00,16.00,1.00,16.00,0.00,0.00
20161123,23-11-16,t,t0001,17.00,58.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,0.20,-0.60,-1.30,-2.40,90.00,89.00,87.00,11.00,0.00,16.00,0.00,0.00
20161124,24-11-16,t,t0001,17.00,72.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,0.80,-0.40,-1.60,-1.70,92.00,90.00,88.00,10.00,0.00,11.00,0.00,0.00
20161125,25-11-16,t,t0001,16.00,41.00,700.00,casual,polyester,purple,plain,1.00,10.00,0.00,2.30,1.50,0.70,0.40,97.00,93.00,84.00,18.00,0.00,18.00,0.05,0.00
20161126,26-11-16,t,t0001,27.00,35.00,700.00,casual,polyester,purple,plain,1.00,7.00,1.00,3.30,2.10,0.80,-0.70,87.00,81.00,75.00,24.00,1.00,24.00,0.00,0.00
20161127,27-11-16,t,t0001,19.00,90.00,700.00,casual,polyester,purple,plain,1.00,7.00,1.00,7.50,4.80,2.20,3.30,94.00,89.00,82.00,19.00,1.00,21.00,0.10,0.00
20161128,28-11-16,t,t0001,17.00,77.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,3.50,1.60,-0.40,-1.80,92.00,79.00,67.00,19.00,1.00,19.00,0.03,0.00
20161129,29-11-16,t,t0001,17.00,15.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,-0.30,-3.60,-6.90,-5.80,94.00,85.00,70.00,16.00,1.00,16.00,0.00,0.00
20161130,30-11-16,t,t0001,13.00,88.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,-1.30,-5.00,-8.70,-7.40,94.00,86.00,73.00,11.00,0.00,13.00,0.00,0.00
20161201,01-12-16,t,t0001,21.00,83.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,0.90,-0.20,-1.30,-0.80,95.00,94.00,92.00,10.00,0.00,10.00,0.00,0.00
20161202,02-12-16,t,t0001,17.00,65.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,0.30,-0.40,-1.10,-1.30,97.00,96.00,94.00,10.00,0.00,10.00,0.00,0.00
20161203,03-12-16,t,t0001,27.00,91.00,700.00,casual,polyester,purple,plain,1.00,7.00,1.00,-0.20,-2.50,-4.70,-3.80,96.00,89.00,77.00,0.00,0.00,0.00,0.00,0.00
20161204,04-12-16,t,t0001,22.00,24.00,700.00,casual,polyester,purple,plain,1.00,5.00,1.00,-2.40,-4.30,-6.20,-6.40,92.00,87.00,78.00,0.00,0.00,0.00,0.00,0.00
20161205,05-12-16,t,t0001,17.00,86.00,700.00,casual,polyester,purple,plain,1.00,4.00,0.00,-2.80,-6.00,-9.10,-7.60,91.00,84.00,76.00,18.00,1.00,21.00,0.00,0.00
20161206,06-12-16,t,t0001,20.00,57.00,700.00,casual,polyester,purple,plain,1.00,2.00,0.00,0.10,-3.10,-6.20,-4.30,94.00,83.00,73.00,24.00,2.00,24.00,0.00,0.00
20161207,07-12-16,t,t0001,17.00,25.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,-3.90,-6.70,-9.50,-10.90,86.00,76.00,57.00,18.00,1.00,18.00,0.00,0.00
20161208,08-12-16,t,t0001,14.00,68.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,4.70,-2.00,-8.70,-2.90,97.00,91.00,76.00,21.00,2.00,21.00,0.89,0.00
20161209,09-12-16,t,t0001,16.00,85.00,700.00,casual,polyester,purple,plain,1.00,9.00,0.00,6.60,5.70,4.70,4.80,97.00,95.00,92.00,24.00,1.00,24.00,0.18,0.00
20161210,10-12-16,t,t0001,35.00,39.00,700.00,casual,polyester,purple,plain,1.00,9.00,1.00,7.00,6.10,5.30,5.00,96.00,91.00,84.00,19.00,1.00,19.00,0.15,0.00
20161211,11-12-16,t,t0001,19.00,86.00,700.00,casual,polyester,purple,plain,1.00,7.00,1.00,6.80,3.60,0.30,0.70,96.00,90.00,75.00,13.00,1.00,14.00,0.05,0.00
20161212,12-12-16,t,t0001,9.00,16.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,-4.30,-5.80,-7.30,-7.60,92.00,88.00,86.00,16.00,3.00,18.00,0.23,0.00
20161213,13-12-16,t,t0001,22.00,82.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,-2.70,-6.00,-9.40,-7.90,89.00,83.00,74.00,16.00,1.00,19.00,0.00,0.00
20161214,14-12-16,t,t0001,19.00,98.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,-0.80,-4.10,-7.30,-5.60,95.00,86.00,77.00,10.00,0.00,14.00,0.03,0.00
20161215,15-12-16,t,t0001,22.00,7.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,-0.80,-5.00,-9.20,-5.60,95.00,89.00,81.00,16.00,1.00,18.00,0.00,0.00
20161216,16-12-16,t,t0001,16.00,67.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,-3.50,-6.70,-9.90,-9.10,94.00,87.00,72.00,13.00,0.00,13.00,0.00,0.00
20161217,17-12-16,t,t0001,36.00,20.00,700.00,casual,polyester,purple,plain,1.00,9.00,1.00,0.10,-2.80,-5.70,-2.90,96.00,93.00,88.00,8.00,0.00,8.00,0.00,0.00
20161218,18-12-16,t,t0001,22.00,41.00,700.00,casual,polyester,purple,plain,1.00,6.00,1.00,-0.60,-1.70,-2.80,-2.60,95.00,93.00,90.00,11.00,0.00,11.00,0.00,0.00
20161219,19-12-16,t,t0001,14.00,27.00,700.00,casual,polyester,purple,plain,1.00,7.00,0.00,1.80,-1.10,-4.10,-1.40,96.00,94.00,92.00,18.00,1.00,18.00,0.23,0.00
20161220,20-12-16,t,t0001,18.00,77.00,700.00,casual,polyester,purple,plain,1.00,4.00,0.00,1.40,0.10,-1.30,-0.90,98.00,92.00,83.00,11.00,0.00,11.00,0.25,0.00
20161221,21-12-16,t,t0001,23.00,76.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,0.80,-0.50,-1.80,-2.40,94.00,88.00,84.00,10.00,0.00,10.00,0.00,0.00
20161222,22-12-16,t,t0001,29.00,3.00,700.00,casual,polyester,purple,plain,1.00,2.00,0.00,2.60,-0.70,-3.90,-2.40,98.00,93.00,81.00,6.00,0.00,6.00,0.00,0.00
20161223,23-12-16,t,t0001,22.00,47.00,700.00,casual,polyester,purple,plain,1.00,9.00,0.00,1.80,-0.70,-3.30,-2.10,97.00,95.00,85.00,18.00,0.00,18.00,0.00,0.00
20161224,24-12-16,t,t0001,22.00,91.00,700.00,casual,polyester,purple,plain,1.00,3.00,1.00,2.20,0.80,-0.60,-0.20,97.00,92.00,86.00,18.00,1.00,18.00,0.00,0.00
20161225,25-12-16,t,t0001,33.00,13.00,700.00,casual,polyester,purple,plain,1.00,4.00,1.00,1.70,0.40,-0.80,-0.60,95.00,93.00,91.00,13.00,0.00,13.00,0.03,0.00
20161226,26-12-16,t,t0001,8.00,29.00,700.00,casual,polyester,purple,plain,1.00,5.00,0.00,4.00,1.90,-0.20,-0.10,97.00,89.00,72.00,16.00,1.00,16.00,0.05,0.00
20161227,27-12-16,t,t0001,14.00,90.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,4.50,3.00,1.60,1.40,98.00,90.00,73.00,21.00,2.00,23.00,0.38,0.00
20161228,28-12-16,t,t0001,19.00,64.00,700.00,casual,polyester,purple,plain,1.00,1.00,0.00,2.90,1.60,0.20,-0.40,96.00,89.00,83.00,21.00,2.00,21.00,0.18,0.00
20161229,29-12-16,t,t0001,22.00,28.00,700.00,casual,polyester,purple,plain,1.00,9.00,0.00,0.20,-0.60,-1.40,-2.60,93.00,87.00,82.00,23.00,2.00,23.00,0.00,0.00
20161230,30-12-16,t,t0001,42.00,20.00,700.00,casual,polyester,purple,plain,1.00,6.00,0.00,-0.10,-1.60,-3.10,-4.50,88.00,82.00,72.00,10.00,0.00,10.00,0.00,0.00
20161231,31-12-16,t,t0001,25.00,59.00,700.00,casual,polyester,purple,plain,1.00,0.00,1.00,2.90,0.30,-2.30,-2.30,93.00,84.00,74.00,18.00,0.00,18.00,0.00,0.00
20170101,01-01-17,t,t0001,0.00,60.00,770.00,casual,polyester,purple,plain,1.00,0.00,1.00,1.50,0.60,-0.30,0.00,97.00,95.00,86.00,21.00,1.00,26.00,0.03,0.00
20170102,02-01-17,t,t0001,20.00,63.00,770.00,casual,polyester,purple,plain,1.00,8.00,1.00,3.40,1.60,-0.30,-1.80,95.00,81.00,69.00,16.00,1.00,16.00,0.00,0.00
20170103,03-01-17,t,t0001,41.00,69.00,770.00,casual,polyester,purple,plain,1.00,3.00,0.00,1.10,-1.00,-3.10,-2.90,95.00,84.00,79.00,19.00,1.00,19.00,0.00,0.00
20170104,04-01-17,t,t0001,54.00,80.00,770.00,casual,polyester,purple,plain,1.00,4.00,0.00,0.40,-1.40,-3.20,-3.00,94.00,86.00,74.00,23.00,2.00,23.00,0.00,0.00
20170105,05-01-17,t,t0001,24.00,68.00,770.00,casual,polyester,purple,plain,1.00,7.00,0.00,2.00,-4.20,-10.30,-4.70,88.00,82.00,75.00,21.00,1.00,24.00,0.00,0.00
20170106,06-01-17,t,t0001,14.00,72.00,770.00,casual,polyester,purple,plain,1.00,9.00,0.00,-10.40,-13.40,-16.60,-16.30,88.00,81.00,73.00,23.00,2.00,23.00,0.00,0.00
20170107,07-01-17,t,t0001,14.00,25.00,770.00,casual,polyester,purple,plain,1.00,7.00,1.00,-14.90,-16.60,-18.20,-18.40,89.00,87.00,86.00,21.00,4.00,29.00,0.00,0.00
20170108,08-01-17,t,t0001,15.00,26.00,770.00,casual,polyester,purple,plain,1.00,7.00,1.00,-9.20,-12.20,-15.30,-13.30,93.00,91.00,89.00,21.00,2.00,23.00,0.00,0.00
20170109,09-01-17,t,t0001,29.00,100.00,770.00,casual,polyester,purple,plain,1.00,7.00,1.00,-8.00,-9.00,-10.10,-9.90,94.00,93.00,92.00,16.00,1.00,16.00,0.00,0.00
20170110,10-01-17,t,t0001,20.00,72.00,770.00,casual,polyester,purple,plain,1.00,4.00,0.00,-3.80,-6.20,-8.50,-6.80,96.00,95.00,94.00,6.00,0.00,6.00,0.00,0.00
20170111,11-01-17,t,t0001,20.00,68.00,770.00,casual,polyester,purple,plain,1.00,5.00,0.00,-2.40,-3.10,-3.80,-3.50,97.00,97.00,96.00,10.00,0.00,10.00,0.00,0.00
20170112,12-01-17,t,t0001,23.00,72.00,770.00,casual,polyester,purple,plain,1.00,7.00,0.00,-1.60,-3.40,-5.20,-4.40,98.00,92.00,82.00,11.00,0.00,11.00,0.00,0.00
